city_id,city_name,country_code,latitude,longitude,date,max_temp,humidity,cloudiness,wind_speed
0,bathsheba,bb,18.0183,-49.4282,1552582800,84.2,66,40,17.22
1,lapi,ph,17.6478,121.9097,1552584974,70.66,98,92,1.7
2,tasiilaq,gl,76.7762,-40.9308,1552582200,24.8,85,75,4.7
3,port hardy,ca,45.1242,-131.0032,1552582800,41,86,75,5.82
4,buala,sb,-7.9703,158.3321,1552584974,81.01,93,8,6.17
5,victoria,sc,4.1874,61.7886,1552582800,84.2,74,20,5.82
8,djambala,cg,-2.8686,15.3808,1552584974,75.75,90,0,3.83
10,puerto ayora,ec,-1.3964,-96.09,1552583779,80.6,74,0,10.29
11,mount isa,au,-20.5204,136.8777,1552582800,78.8,24,0,5.82
12,ushuaia,ar,-79.187,-42.2819,1552582800,57.2,54,20,6.85
13,alugan,ph,15.5679,129.632,1552584974,76.74,94,92,10.65
14,cabo san lucas,mx,10.5729,-118.0261,1552584323,75,30,5,16.11
15,east london,za,-82.1858,58.371,1552582800,66.2,93,20,3.36
17,saint george,bm,28.3711,-52.0795,1552584690,64.99,51,75,9.17
18,jumla,np,29.0223,82.34,1552584815,27.15,99,92,1.92
19,ushuaia,ar,-89.5064,-85.7579,1552582800,57.2,54,20,6.85
20,alta floresta,br,-11.5138,-54.4037,1552579200,87.8,66,40,2.24
21,bondo,cd,3.5216,22.9079,1552584975,91.77,35,56,4.61
22,lazaro cardenas,mx,3.8783,-109.327,1552584907,66.99,30,75,3.36
23,brae,gb,62.5252,-1.8204,1552584000,44.6,75,20,11.41
24,rikitea,pf,-80.88,-128.363,1552584623,75.34,100,100,17.36
25,cape town,za,-43.5124,3.0387,1552584492,78.01,64,0,11.41
26,kalol,in,23.1771,72.4362,1552582800,75.2,27,12,2.24
28,narsaq,gl,81.8495,-64.2227,1552582200,23,73,75,2.24
29,punta arenas,cl,-54.7544,-81.9102,1552584203,59,62,40,16.11
30,ushuaia,ar,-57.6834,-71.1646,1552582800,57.2,54,20,6.85
31,saint-philippe,re,-55.6575,70.0218,1552584634,78.8,69,64,5.82
32,mar del plata,ar,-52.6937,-44.4289,1552584436,59.82,81,92,15.57
33,margate,za,-38.517,37.3037,1552584685,74.04,99,92,12.21
34,castro,cl,-42.9596,-93.3242,1552582800,59,62,40,9.17
